"Tipo de Cáncer","Localización","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Labio","Amazonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3","1.3","1.3","1.3","1.3","0"
"Labio","Antioquia","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Labio","Arauca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","0.4","0.4","0.4","0.4","0","0","0"
"Labio","Archipiélago de San Andrés, Providencia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Labio","Atlántico","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0","0","0"
"Labio","Bogotá D.C","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Labio","Bolívar","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0","0","0"
"Labio","Boyacá","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1"
"Labio","Caldas","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0","0"
"Labio","Caquetá","0","0","0","0","0","0","0","0","0","0.2","0.2","0.2","0.2","0.2","0","0","0","0","0","0","0","0","0"
"Labio","Casanare","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3","0.3","0.3","0.3","0.3","0"
"Labio","Cauca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1"
"Labio","Cesar","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Labio","Chocó","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Labio","Córdoba","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0","0","0.1","0.1","0.1","0.1","0.1"
"Labio","Cundinamarca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1"
"Labio","Guainía","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Labio","Guaviare","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Labio","Huila","0.2","0.2","0.2","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0"
"Labio","La Guajira","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1"
"Labio","Magdalena","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0.2","0.2","0.1","0.1","0.1"
"Labio","Meta","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0","0","0"
"Labio","Nariño","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0","0","0","0.1","0.1","0.1","0.1","0.1"
"Labio","Norte de Santander","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0.2","0.2","0.2","0.2","0.2","0","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Labio","Putumayo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Labio","Quindio","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Labio","Risaralda","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0","0","0.1","0.1","0.1"
"Labio","Santander","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2"
"Labio","Sucre","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Labio","Tolima","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0","0","0","0"
"Labio","Valle del Cauca","0.1","0.1","0.1","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
